대기오염별,월별,2019 년,2020 년,2021 년,2022 년,2023 년
아황산가스,1월,0.005,0.004,0.004,0.003,0.003
아황산가스,2월,0.004,0.003,0.003,0.003,0.003
아황산가스,3월,0.004,0.003,0.003,0.002,0.003
아황산가스,4월,0.004,0.003,0.003,0.002,0.002
아황산가스,5월,0.004,0.003,0.003,0.002,0.002
아황산가스,6월,0.004,0.003,0.003,0.002,0.002
아황산가스,7월,0.003,0.003,0.003,0.002,0.002
아황산가스,8월,0.003,0.003,0.003,0.002,0.002
아황산가스,9월,0.003,0.003,0.003,0.002,0.002
아황산가스,10월,0.003,0.003,0.003,0.002,0.002
아황산가스,11월,0.004,0.003,0.003,0.002,0.003
아황산가스,12월,0.004,0.004,0.003,0.002,0.003
일산화탄소,1월,0.7,0.6,0.6,0.6,0.5
일산화탄소,2월,0.6,0.5,0.5,0.5,0.5
일산화탄소,3월,0.6,0.5,0.5,0.4,0.4
일산화탄소,4월,0.4,0.4,0.4,0.4,0.3
일산화탄소,5월,0.5,0.4,0.4,0.3,0.3
일산화탄소,6월,0.4,0.4,0.4,0.3,0.3
일산화탄소,7월,0.4,0.4,0.4,0.3,0.3
일산화탄소,8월,0.4,0.3,0.4,0.3,0.4
일산화탄소,9월,0.4,0.4,0.4,0.3,0.4
일산화탄소,10월,0.4,0.5,0.4,0.4,0.4
일산화탄소,11월,0.6,0.5,0.5,0.4,0.4
일산화탄소,12월,0.6,0.6,0.5,0.5,0.5
이산화질소,1월,0.036,0.03,0.026,0.029,0.026
이산화질소,2월,0.031,0.027,0.025,0.023,0.026
이산화질소,3월,0.028,0.023,0.025,0.022,0.023
이산화질소,4월,0.024,0.017,0.018,0.017,0.015
이산화질소,5월,0.022,0.016,0.015,0.013,0.014
이산화질소,6월,0.017,0.015,0.014,0.01,0.011
이산화질소,7월,0.014,0.012,0.012,0.01,0.009
이산화질소,8월,0.015,0.011,0.012,0.01,0.009
이산화질소,9월,0.018,0.013,0.011,0.013,0.011
이산화질소,10월,0.022,0.022,0.018,0.018,0.017
이산화질소,11월,0.03,0.027,0.026,0.025,0.018
이산화질소,12월,0.031,0.028,0.027,0.025,0.022
미세먼지(PM-10),1월,72,47,42,46,50
미세먼지(PM-10),2월,61,44,52,42,50
미세먼지(PM-10),3월,72,49,72,46,73
미세먼지(PM-10),4월,45,47,46,47,68
미세먼지(PM-10),5월,56,38,64,35,41
미세먼지(PM-10),6월,32,41,37,23,30
미세먼지(PM-10),7월,30,23,26,25,27
미세먼지(PM-10),8월,29,24,25,20,23
미세먼지(PM-10),9월,26,22,17,24,23
미세먼지(PM-10),10월,37,38,31,29,32
미세먼지(PM-10),11월,47,45,48,44,33
미세먼지(PM-10),12월,47,46,41,39,38
초미세먼지(PM-2.5),1월,41,31,22,31,28
초미세먼지(PM-2.5),2월,38,29,31,27,33
초미세먼지(PM-2.5),3월,47,26,33,24,31
초미세먼지(PM-2.5),4월,21,20,19,22,23
초미세먼지(PM-2.5),5월,28,19,21,17,19
초미세먼지(PM-2.5),6월,19,21,21,13,17
초미세먼지(PM-2.5),7월,18,13,15,15,15
초미세먼지(PM-2.5),8월,16,13,13,10,13
초미세먼지(PM-2.5),9월,13,11,8,12,12
초미세먼지(PM-2.5),10월,17,19,15,16,17
초미세먼지(PM-2.5),11월,23,25,27,25,18
초미세먼지(PM-2.5),12월,31,29,25,22,23
오존,1월,0.013,0.015,0.016,0.016,0.017
오존,2월,0.019,0.021,0.024,0.027,0.022
오존,3월,0.03,0.03,0.029,0.029,0.034
오존,4월,0.032,0.04,0.04,0.043,0.039
오존,5월,0.048,0.039,0.04,0.049,0.042
오존,6월,0.042,0.048,0.043,0.038,0.048
오존,7월,0.034,0.033,0.037,0.036,0.037
오존,8월,0.033,0.023,0.033,0.03,0.033
오존,9월,0.024,0.029,0.03,0.03,0.03
오존,10월,0.021,0.022,0.022,0.022,0.025
오존,11월,0.014,0.017,0.018,0.018,0.023
오존,12월,0.012,0.015,0.014,0.015,0.019
