연월일,읍면동,법정동리,인구(계),인구(남),인구(여),세대수,기준일자
2020-09-30,백석읍,방성리,6395,3327,3068,3117,2022-12-20
2020-09-30,백석읍,오산리,3528,1788,1740,1573,2022-12-20
2020-09-30,백석읍,복지리,9582,4695,4887,3524,2022-12-20
2020-09-30,백석읍,가업리,4854,2397,2457,2010,2022-12-20
2020-09-30,백석읍,홍죽리,879,483,396,470,2022-12-20
2020-09-30,백석읍,연곡리,701,388,313,356,2022-12-20
2020-09-30,백석읍,기산리,489,263,226,346,2022-12-20
2020-09-30,은현면,용암리,1324,753,571,696,2022-12-20
2020-09-30,은현면,선암리,1227,708,519,650,2022-12-20
2020-09-30,은현면,운암리,766,439,327,405,2022-12-20
2020-09-30,은현면,봉암리,976,549,427,532,2022-12-20
2020-09-30,은현면,하패리,1047,580,467,538,2022-12-20
2020-09-30,은현면,도하리,716,398,318,383,2022-12-20
2020-09-30,남면,신산리,3135,1710,1425,1575,2022-12-20
2020-09-30,남면,신암리,341,185,156,201,2022-12-20
2020-09-30,남면,매곡리,339,156,183,191,2022-12-20
2020-09-30,남면,구암리,389,225,164,217,2022-12-20
2020-09-30,남면,두곡리,163,92,71,112,2022-12-20
2020-09-30,남면,경신리,295,191,104,182,2022-12-20
2020-09-30,남면,상수리,1063,631,432,621,2022-12-20
2020-09-30,남면,입암리,422,255,167,257,2022-12-20
2020-09-30,남면,한산리,581,317,264,313,2022-12-20
2020-09-30,남면,황방리,329,182,147,162,2022-12-20
2020-09-30,광적면,가납리,5363,2874,2489,2598,2022-12-20
2020-09-30,광적면,광석리,1415,752,663,618,2022-12-20
2020-09-30,광적면,덕도리,902,531,371,487,2022-12-20
2020-09-30,광적면,비암리,362,181,181,200,2022-12-20
2020-09-30,광적면,석우리,2750,1556,1194,1492,2022-12-20
2020-09-30,광적면,우고리,654,277,377,247,2022-12-20
2020-09-30,광적면,효촌리,561,320,241,279,2022-12-20
2020-09-30,장흥면,교현리,1111,615,496,512,2022-12-20
2020-09-30,장흥면,울대리,779,442,337,378,2022-12-20
2020-09-30,장흥면,부곡리,3725,1827,1898,1715,2022-12-20
2020-09-30,장흥면,석현리,397,207,190,239,2022-12-20
2020-09-30,장흥면,일영리,2643,1293,1350,1352,2022-12-20
2020-09-30,장흥면,삼상리,1002,545,457,475,2022-12-20
2020-09-30,장흥면,삼하리,695,377,318,335,2022-12-20
2020-09-30,양주1동,유양동,711,391,320,382,2022-12-20
2020-09-30,양주1동,어둔동,322,171,151,149,2022-12-20
2020-09-30,양주1동,남방동,1173,613,560,694,2022-12-20
2020-09-30,양주1동,마전동,579,307,272,300,2022-12-20
2020-09-30,양주1동,산북동,2615,1331,1284,1200,2022-12-20
2020-09-30,양주2동,광사동,11460,5777,5683,4622,2022-12-20
2020-09-30,양주2동,만송동,9340,4394,4946,3964,2022-12-20
